itch_game,itch_game_url,steam_game,steam_game_index,steam_game_url,sim_scores,game_name,game_url,game_no_ratings,row_id
Animal Crackers,https://3hg.itch.io/animal-crackers,GUILTY GEAR Xrd -REVELATOR-,3071,https://store.steampowered.com/app/520440/GUILTY_GEAR_Xrd_REVELATOR,0.07697370086861782,Animal Crackers,3hg.itch.io/animal-crackers,103.0,70
Animal Crackers,https://3hg.itch.io/animal-crackers,Wallpaper Engine,3038,https://store.steampowered.com/app/431960/Wallpaper_Engine,0.07644051546704589,Animal Crackers,3hg.itch.io/animal-crackers,103.0,71
Animal Crackers,https://3hg.itch.io/animal-crackers,Kerbal Space Program,2921,https://store.steampowered.com/app/220200/Kerbal_Space_Program,0.07308036096174886,Animal Crackers,3hg.itch.io/animal-crackers,103.0,72
Animal Crackers,https://3hg.itch.io/animal-crackers,Resident Evil / biohazard HD REMASTER,2977,https://store.steampowered.com/app/304240/Resident_Evil__biohazard_HD_REMASTER,0.07283956834350813,Animal Crackers,3hg.itch.io/animal-crackers,103.0,73
Animal Crackers,https://3hg.itch.io/animal-crackers,A Short Hike,2841,https://store.steampowered.com/app/1055540/A_Short_Hike,0.06818325569182102,Animal Crackers,3hg.itch.io/animal-crackers,103.0,74
A Short Hike,https://adamgryu.itch.io/a-short-hike,A Short Hike,2841,https://store.steampowered.com/app/1055540/A_Short_Hike,0.6321291033502366,A Short Hike,adamgryu.itch.io/a-short-hike,272.0,215
A Short Hike,https://adamgryu.itch.io/a-short-hike,Spyro™ Reignited Trilogy,3223,https://store.steampowered.com/app/996580/Spyro_Reignited_Trilogy,0.1223550580642996,A Short Hike,adamgryu.itch.io/a-short-hike,272.0,216
A Short Hike,https://adamgryu.itch.io/a-short-hike,LOST EMBER,3087,https://store.steampowered.com/app/563840/LOST_EMBER,0.10415243641918816,A Short Hike,adamgryu.itch.io/a-short-hike,272.0,217
A Short Hike,https://adamgryu.itch.io/a-short-hike,Treasure Adventure World,2960,https://store.steampowered.com/app/268770/Treasure_Adventure_World,0.094836722831059,A Short Hike,adamgryu.itch.io/a-short-hike,272.0,218
A Short Hike,https://adamgryu.itch.io/a-short-hike,Monster Boy and the Cursed Kingdom,3046,https://store.steampowered.com/app/449610/Monster_Boy_and_the_Cursed_Kingdom,0.09012301173931253,A Short Hike,adamgryu.itch.io/a-short-hike,272.0,219
FAITH - Itch.io Edition,https://airdorf.itch.io/faith,Resident Evil / biohazard HD REMASTER,2977,https://store.steampowered.com/app/304240/Resident_Evil__biohazard_HD_REMASTER,0.09529323477053278,FAITH - Itch.io Edition,airdorf.itch.io/faith,274.0,385
FAITH - Itch.io Edition,https://airdorf.itch.io/faith,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,3031,https://store.steampowered.com/app/418370/RESIDENT_EVIL_7_biohazard__BIOHAZARD_7_resident_evil,0.07195920781292547,FAITH - Itch.io Edition,airdorf.itch.io/faith,274.0,386
FAITH - Itch.io Edition,https://airdorf.itch.io/faith,Axiom Verge,2990,https://store.steampowered.com/app/332200/Axiom_Verge,0.06851887098275318,FAITH - Itch.io Edition,airdorf.itch.io/faith,274.0,387
FAITH - Itch.io Edition,https://airdorf.itch.io/faith,resident evil 4 / biohazard 4,2952,https://store.steampowered.com/app/254700/resident_evil_4__biohazard_4,0.0680517975697931,FAITH - Itch.io Edition,airdorf.itch.io/faith,274.0,388
FAITH - Itch.io Edition,https://airdorf.itch.io/faith,Barotrauma,3103,https://store.steampowered.com/app/602960/Barotrauma,0.06743488827854728,FAITH - Itch.io Edition,airdorf.itch.io/faith,274.0,389